stn,Name,Longitude,Latitude,X,Y,Altitude
AIE,Affoltern im Emmental,7°44',47°04',622940,212500,755
AIR,Airolo,8°36',46°32',688910,153400,1139
ALS,"Altstätten, SG",9°32',47°23',758530,250325,510
VSANZ,Anzère,7°24',46°18',597607,128205,1614
APP,Appenzell,9°24',47°20',748012,245040,750
VSARO,Arolla,7°29',46°01',603508,95832,2000
VSBAS,Baltschiedertal,7°53',46°21',633900,133350,1320
VSGDX,Barrage Grande Dixence,7°24',46°05',597255,103580,2150
BEY,Bellelay,7°10',47°16',579580,234800,930
BEX,Bex,6°60',46°15',565806,121511,402
BOS,Bosco/Gurin,8°30',46°19',681160,130025,1505
BOQ,Bouquetins,7°31',45°60',606350,93500,2800
BRW,Braunwald,8°59',46°56',717990,199900,1330
VSBRI,Bricola,7°34',46°03',609887,99430,2440
BRI,Brig,7°58',46°19',640570,129080,666
BRT,Bristen,8°43',46°46',697265,180300,850
VSBRU,Bruchji,7°58',46°23',641050,136500,2300
BRP,Brusio,10°07',46°16',807010,126920,830
BUD,Burgdorf,7°37',47°04',613020,212670,525
VSCHY,Champéry,6°52',46°10',555392,112526,1055
VSCLU,Clusanfe,6°53',46°08',557243,109534,1899
COL,Coldrerio,8°60',45°51',720725,79400,345
COS,Cossonay,6°30',46°36',528710,162220,570
COU,Couvet,6°38',46°55',538615,196880,741
VSDER,Derborence,7°14',46°17',584115,126364,1380
DOB,Benken / Doggen,8°58',47°11',715387,227540,408
VSDUR,Durnand,7°05',46°03',572558,100091,1212
VSEMO,Emosson,6°56',46°04',560664,101691,1923
ENT,Entlebuch,8°04',46°59',647995,203945,808
ESZ,Eschenz,8°52',47°39',707865,278227,414
FAI,Faido,8°48',46°29',704060,148750,760
FIT,Fieschertal,8°09',46°25',654200,141350,1095
VSFIN,Findelen,7°47',46°01',626317,95547,2170
FIO,Fionnay,7°19',46°02',589990,97750,1500
FLW,Flawil,9°12',47°25',733140,252930,572
GSG,"Gsteig, Gstaad",7°17',46°23',587680,136130,1195
GTT,Guttannen,8°17',46°39',665290,167600,1055
GOA,Göscheneralp,8°30',46°39',681250,166790,1745
HUT,Huttwil,7°50',47°07',630250,218250,630
INN,Innerthal,8°55',47°06',712090,218325,908
VSISE,Isérables,7°15',46°10',585332,112179,1237
VSJEI,Jeizinen,7°43',46°20',621858,130808,1550
KAS,Kandersteg,7°40',46°30',617830,149350,1176
KLA,Klosters,9°54',46°52',787290,192910,1200
AUB,L' Auberson,6°26',46°49',523840,186295,1098
VST,La Valsainte,7°11',46°39',580110,166298,1042
VSFLY,LaFouly,7°06',45°56',573453,87284,1550
LAB,Langenbruck,7°46',47°21',624250,244720,731
LSN,Lausanne,6°39',46°32',538980,153240,601
LEU,Leukerbad,7°38',46°23',614340,136625,1390
LOH,"Lohn, SH",8°41',47°45',692910,289775,585
LON,Longirod,6°16',46°30',509420,150180,902
MGL,Magglingen,7°13',47°08',583037,221115,883
MAT,Martina,10°28',46°53',830464,196986,1041
MAT,Martina,10°28',46°53',830464,196986,1041
VSMAT,Mattsand,7°47',46°09',627250,110279,1230
MEV,Mervelier,7°30',47°20',604705,243130,624
VSMOI,Moiry,7°34',46°08',610169,109590,2127
MMO,Mormont,7°02',47°26',569675,254200,540
MSG,Mosogno,8°38',46°12',692800,117040,760
MUR,"Muri, AG",8°20',47°16',667290,235375,574
VSNEN,Nendaz,7°19',46°07',590166,107852,1938
NEB,Nesselboden,7°31',47°15',605280,232740,1060
OED,Oberehrendingen,8°20',47°29',667775,260175,488
OBI,Oberiberg,8°47',47°02',702030,210700,1087
ORS,Orsières,7°09',46°01',577022,96695,929
VSOTE,Otemma,7°24',45°55',596477,85864,2357
VSOXE,Oxefeld-Freichi,8°15',46°23',662584,136412,1825
ROM,Romont,6°56',46°42',561460,172600,688
ROG,Rossberg,8°33',47°04',684227,214211,1119
VSSAB,Saas Balen,7°56',46°09',637837,110929,1535
VSSFE,Salanfe,6°58',46°09',564020,110569,1880
VSSAL,Saleina,7°06',45°59',573291,92777,1600
SVG,Savognin,9°36',46°36',765387,162663,1172
SIH,Sihlbrugg,8°35',47°13',686310,230590,550
SOG,Soglio,9°33',46°20',761950,134370,1093
VSSOR,Sorniot-Lac Inférieur,7°06',46°10',573849,112885,2005
SAN,St. Antönien,9°50',46°58',782225,204910,1555
VSSTA,Stafel,7°41',46°00',618596,94805,2180
STB,Starkenbach,9°15',47°11',737700,227600,890
STP,Stöckalp,8°17',46°48',664320,183550,1070
SUS,Susch,10°05',46°45',802002,181593,1416
THS,Thusis,9°27',46°43',753155,175089,672
VSTRI,Trient,6°60',46°03',565652,100027,1290
TRU,Trun,9°01',46°45',719985,178224,834
VSTSN,Tsanfleuron,7°18',46°19',589461,129932,2052
TST,Tschiertschen,9°36',46°49',765350,187190,1375
VSTUR,Turtmann,7°42',46°10',619600,113183,2180
UBB,Unterbözberg,8°09',47°29',653845,259100,523
UNK,Unterkulm,8°07',47°19',650838,241212,454
URN,Urnäsch,9°16',47°18',738680,241230,850
VSVER,Vercorin,7°33',46°14',609075,120732,1650
VRI,Vrin,9°06',46°39',727220,168670,1458
VAE,Vättis,9°26',46°55',752390,197280,960
WEE,Weesen,9°05',47°08',724983,221383,425
WIN,Winterthur / Seen,8°46',47°28',699845,259054,506
WIT,Wittnau,7°58',47°29',639960,259015,462
