"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"1","2000NV029039","LOAMY",6372966.46319628,3737711.79294039,20,8,"NASIS",NA
"2","2000NV029040","CLAYEY",6369346.94764824,3750770.74853447,64,16,"NASIS",NA
"3","S2000CA091001","FINE-LOAMY",6254690.82545431,3793829.88259675,27,6,"NASIS",NA
"4","S2000CA091002","FINE-LOAMY",6254930.82075363,3793825.63280417,27,6,"NASIS",NA
"5","S2000CA091003","FINE-LOAMY",6255077.2796037,3794269.48234796,27,6,"NASIS",NA
"6","S2000CA017001","FINE-LOAMY",6267572.97442489,3713025.79983987,27,6,"NASIS",NA
"8","S2000CA017003","FINE-LOAMY",6267888.52145167,3713063.99544179,27,6,"NASIS",NA
"9","1978NV029005","CLAYEY",6369677.59241797,3736505.85265461,64,16,"NASIS",NA
"10","1978NV029008","LOAMY-SKELETAL",6369986.32950452,3734530.80080329,20,8,"NASIS",NA
"11","1978NV029009","LOAMY-SKELETAL",6367515.63839533,3731855.65623838,20,8,"NASIS",NA
"12","1984NV029003","LOAMY-SKELETAL",6372227.15969201,3748463.34494954,20,8,"NASIS",NA
"13","1984NV029004","CLAYEY-SKELETAL",6373231.73865359,3751282.12666249,64,16,"NASIS",NA
"14","1984NV029006","CLAYEY",6375800.63414124,3749608.28609722,64,16,"NASIS",NA
"15","1984NV029008","CLAYEY",6372191.70614072,3752956.2189164,64,16,"NASIS",NA
"16","1983NV029059","LOAMY-SKELETAL",6369763.19699146,3747438.8031994,20,8,"NASIS",NA
"17","1983NV029060","LOAMY-SKELETAL",6380548.92201429,3750661.52736453,20,8,"NASIS",NA
"18","1984NV029009","CLAYEY",6380824.76154634,3749025.58566737,64,16,"NASIS",NA
"19","1984NV029010","LOAMY-SKELETAL",6380249.292813,3748936.53004781,20,8,"NASIS",NA
"20","1984NV029014","LOAMY-SKELETAL",6378170.96087353,3751663.92779421,20,8,"NASIS",NA
"21","1984NV029012","CLAYEY",6377266.01979149,3750016.99396865,64,16,"NASIS",NA
"22","1984NV029013","LOAMY-SKELETAL",6377085.73265922,3749908.20714018,20,8,"NASIS",NA
"23","1984NV029015","CLAYEY-SKELETAL",6375083.45679281,3750730.89447379,64,16,"NASIS",NA
"24","1978NV029011","FINE-LOAMY",6366834.29576763,3736573.07232023,27,6,"NASIS",NA
"25","02CA693LoHaganssnowtel","COARSE-LOAMY",6325879.71715851,3691058.81648424,10,8,"NASIS",NA
"26","02CA693LoFallensnowtel","COARSE-LOAMY",6318540.09163793,3702921.83302384,10,8,"NASIS",NA
"27","02CA693LoHeavenlysnowtel","COARSE-LOAMY",6329826.92287301,3698351.26554001,10,8,"NASIS",NA
"28","2000NV029041","CLAYEY",6370632.56451241,3734716.62898065,64,16,"NASIS",NA
"29","2000NV029042","VERY-FINE",6369504.7504542,3742531.60377678,74,12,"NASIS",NA
"30","2000NV029044","LOAMY-SKELETAL",6365128.73525985,3737196.91240908,20,8,"NASIS",NA
"31","1983NV029010","CLAYEY",6365095.24170596,3752574.06293476,64,16,"NASIS",NA
"32","1983NV029912","LOAMY-SKELETAL",6368963.19572189,3748624.31177597,20,8,"NASIS",NA
"33","1984NV029001","LOAMY-SKELETAL",6369355.10975583,3753477.66149658,20,8,"NASIS",NA
"34","1983NV029013","LOAMY-SKELETAL",6365337.725526,3753086.39629418,20,8,"NASIS",NA
"35","1983NV029017","CLAYEY",6367566.07407279,3754434.49609277,64,16,"NASIS",NA
"36","1983NV029018","CLAYEY",6369869.75413146,3748548.78618456,64,16,"NASIS",NA
"37","2002NV029001","CLAYEY",6367849.44796301,3749671.43595177,64,16,"NASIS",NA
"38","1983NV029019","CLAYEY",6367695.18215519,3752641.45301961,64,16,"NASIS",NA
"39","1983NV029020","LOAMY",6366976.00582013,3752758.919011,20,8,"NASIS",NA
"40","1983NV029021","LOAMY-SKELETAL",6368039.42145006,3752798.51235056,20,8,"NASIS",NA
"41","1983NV029023","LOAMY-SKELETAL",6367914.35061122,3753160.77298881,20,8,"NASIS",NA
"42","1983NV029024","CLAYEY",6369296.46988242,3747745.27061835,64,16,"NASIS",NA
"43","1983NV029025","CLAYEY",6367290.75788541,3747564.16220687,64,16,"NASIS",NA
"44","1983NV029026","CLAYEY",6369138.70643255,3747175.13779197,64,16,"NASIS",NA
"45","1983NV029027","FINE-LOAMY",6365296.46296859,3750499.31035513,27,6,"NASIS",NA
"46","1983NV029029","CLAYEY",6372381.89605103,3739031.77286803,64,16,"NASIS",NA
"47","1983NV029030","CLAYEY",6371868.55717134,3738534.93682023,64,16,"NASIS",NA
"48","1983NV029031","CLAYEY",6372295.78578421,3738992.43294816,64,16,"NASIS",NA
"49","1983NV029032","LOAMY",6373724.89543824,3739444.45433107,20,8,"NASIS",NA
"50","1983NV029033","LOAMY",6373325.84554777,3739270.77964753,20,8,"NASIS",NA
"51","1983NV029035","VERY-FINE",6371392.8217567,3745171.64867888,74,12,"NASIS",NA
"52","1983NV029036","CLAYEY",6370072.05076862,3745110.3898683,64,16,"NASIS",NA
"53","1983NV029038","CLAYEY",6369500.84330227,3744858.36390113,64,16,"NASIS",NA
"54","1983NV029039","CLAYEY",6369579.58704569,3739605.70187771,64,16,"NASIS",NA
"55","1983NV029041","LOAMY",6373143.73149598,3739065.1265652,20,8,"NASIS",NA
"56","1983NV029046","CLAYEY",6378539.24110428,3741355.62717789,64,16,"NASIS",NA
"57","1983NV029047","CLAYEY",6375213.25946716,3741660.36758364,64,16,"NASIS",NA
"58","1983NV029044","LOAMY-SKELETAL",6377459.99391435,3736518.05586852,20,8,"NASIS",NA
"59","1983NV029048","CLAYEY",6373998.13123368,3741436.87866888,64,16,"NASIS",NA
